,Thème,Question,A,B,C,D,Bonne réponse
🌍 Marchés & géopolitique,Marchés émergents vs développés,Exemple de marché développé :,Nigeria,Brésil,Allemagne,Kenya,C
🌍 Marchés & géopolitique,Investir en Afrique,La BRVM est une bourse régionale commune à :,L’Afrique centrale,L’Afrique de l’Est,L’UEMOA,La SADC,C
🌍 Marchés & géopolitique,Investir en Afrique,Où est située la BRVM physiquement ?,Dakar,Abidjan,Lagos,Bamako,B
🌍 Marchés & géopolitique,Corrélation économie réelle / marchés,Que signifie une faible corrélation entre PIB et marchés boursiers ?,Les deux évoluent toujours ensemble,Les marchés sont plus liés à l'inflation,Les marchés peuvent évoluer indépendamment de l’économie,L’économie réelle détermine tout,C
🌍 Marchés & géopolitique,Corrélation économie réelle / marchés,Quelle donnée de l’économie réelle a le plus d’impact immédiat sur les marchés ?,Le taux de chômage,Le PIB,Les résultats d’entreprises,Le taux de pauvreté,C
🌍 Marchés & géopolitique,Corrélation économie réelle / marchés,"Quand les marchés montent alors que le PIB recule, on parle de :",Corrélation négative,Récession spéculative,Convergence économique,Contre-cycle,A
🌍 Marchés & géopolitique,Corrélation économie réelle / marchés,Les marchés anticipent généralement :,Les données économiques passées,Les politiques fiscales,L’état futur de l’économie,L’évolution de la dette publique,C
🌍 Marchés & géopolitique,Corrélation économie réelle / marchés,Une récession peut coexister avec :,Une croissance boursière,Une inflation faible,Des taux bas seulement,Aucun indicateur haussier,A
🌍 Marchés & géopolitique,Corrélation économie réelle / marchés,Les marchés réagissent souvent plus à :,La dette publique,L’opinion des économistes,L’émotion et les anticipations,L’évolution démographique,C
🌍 Marchés & géopolitique,Corrélation économie réelle / marchés,"En période d’inflation, les marchés :",Baissent toujours,Réagissent selon les anticipations de taux,Ignorent les prix,Montent automatiquement,B
🌍 Marchés & géopolitique,Corrélation économie réelle / marchés,Les banques centrales influencent la corrélation en :,Imposant des salaires,Dépensant en infrastructure,Modifiant les taux directeurs,Nationalisant les entreprises,C
🌍 Marchés & géopolitique,Corrélation économie réelle / marchés,Quel secteur est le plus sensible à l’économie réelle ?,Luxe,Énergie,Consommation cyclique,Technologies,C
🌍 Marchés & géopolitique,Corrélation économie réelle / marchés,Un décalage entre économie réelle et marchés est souvent dû à :,La corruption,Les délais statistiques,Les anticipations boursières,Les exportations,C
🌍 Marchés & géopolitique,Corrélation économie réelle / marchés,Une entreprise en perte peut voir son action monter si :,Elle embauche plus,Les investisseurs anticipent une amélioration,Son PDG est célèbre,Elle reçoit un prêt,B
🌍 Marchés & géopolitique,Corrélation économie réelle / marchés,Le taux de chômage impacte surtout :,Les valeurs industrielles,La consommation,Le secteur bancaire,Le secteur minier,B
🌍 Marchés & géopolitique,Corrélation économie réelle / marchés,Pourquoi l’indice boursier peut monter avant la reprise économique ?,Les analystes aiment anticiper,Il reflète déjà les attentes de croissance,Il ignore les données,Le gouvernement le soutient,B
🌍 Marchés & géopolitique,Corrélation économie réelle / marchés,Une politique de relance peut faire monter les marchés car :,Elle réduit les impôts sur les dividendes,Elle stimule la confiance des investisseurs,Elle augmente le déficit public,Elle favorise les entreprises publiques,B
🌍 Marchés & géopolitique,Corrélation économie réelle / marchés,Les marchés sont plus volatils que l’économie réelle car :,Ils sont plus liquides,Ils reposent sur l’immobilier,Ils sont prévisibles,Ils suivent uniquement le PIB,A
🌍 Marchés & géopolitique,Corrélation économie réelle / marchés,Un choc sur le marché immobilier peut affecter :,La consommation,Les taux directeurs,Les exportations,Les matières premières,A
🌍 Marchés & géopolitique,Corrélation économie réelle / marchés,"En cas de crise, les marchés peuvent :",Sur-réagir aux mauvaises nouvelles,Se stabiliser immédiatement,Réagir après l’économie,Toujours monter,A
🌍 Marchés & géopolitique,Corrélation économie réelle / marchés,Les marchés intègrent l’économie réelle par :,Les résultats des entreprises,Les émissions monétaires,Les données du FMI,L’indexation des salaires,A
🌍 Marchés & géopolitique,Corrélation économie réelle / marchés,Le PIB nominal diffère du PIB réel car :,Il tient compte de l’inflation,Il inclut les dividendes,Il est exprimé en actions,Il est calculé par l’ONU,A
🌍 Marchés & géopolitique,Corrélation économie réelle / marchés,Les marchés financiers sont :,Un miroir parfait de l’économie,Déconnectés de toute réalité,Un indicateur imparfait mais utile,Gérés uniquement par les banques,C
🌍 Marchés & géopolitique,Marchés émergents vs développés,Un marché émergent est caractérisé par :,Une faible croissance,Un haut niveau d’innovation,Une croissance rapide mais instable,Une monnaie forte,C
🌍 Marchés & géopolitique,Marchés émergents vs développés,Exemple de marché développé :,Nigeria,Brésil,Allemagne,Kenya,C
🌍 Marchés & géopolitique,Marchés émergents vs développés,Exemple de marché émergent :,Japon,États-Unis,Inde,Suisse,C
🌍 Marchés & géopolitique,Marchés émergents vs développés,Les marchés émergents sont plus sensibles à :,La croissance démographique,Les taux d’imposition,Le vieillissement,Les dividendes,A
🌍 Marchés & géopolitique,Marchés émergents vs développés,Les devises des marchés émergents sont souvent :,Convertibles librement,Moins stables,Ancrées au dollar,Sous contrôle de la BCE,B
🌍 Marchés & géopolitique,Marchés émergents vs développés,Le risque politique est plus élevé dans :,Les marchés développés,Les pays d’Europe,Les marchés émergents,L’Union européenne,C
🌍 Marchés & géopolitique,Marchés émergents vs développés,Les marchés développés offrent souvent :,Des rendements plus élevés,Moins de volatilité,Plus d’opportunités,Moins de fiscalité,B
🌍 Marchés & géopolitique,Marchés émergents vs développés,Les marchés émergents attirent pour :,Leur stabilité,Leur dette faible,Leur potentiel de croissance,Leur niveau d’éducation,C
🌍 Marchés & géopolitique,Marchés émergents vs développés,Le MSCI Emerging Markets inclut :,"USA, Japon","Côte d’Ivoire, Japon","Brésil, Inde","Allemagne, France",C
🌍 Marchés & géopolitique,Marchés émergents vs développés,Les entreprises des marchés émergents sont souvent :,Matures,En phase de forte expansion,Protégées par l’UE,Déficitaires,B
🌍 Marchés & géopolitique,Marchés émergents vs développés,Un choc sur les matières premières impacte plus :,Le Japon,Les marchés émergents,L’Europe,La BCE,B
🌍 Marchés & géopolitique,Marchés émergents vs développés,L’accès au financement est plus difficile dans :,Les marchés développés,L’Union européenne,Les marchés émergents,L’OCDE,C
🌍 Marchés & géopolitique,Marchés émergents vs développés,"En cas de crise mondiale, les marchés émergents :",Résistent mieux,Sont plus touchés,Ignorent la crise,Profitent toujours,B
🌍 Marchés & géopolitique,Marchés émergents vs développés,La diversification géographique permet de :,Doubler les dividendes,Réduire les risques,Éviter l’inflation,Gagner sur toutes les zones,B
🌍 Marchés & géopolitique,Marchés émergents vs développés,Les infrastructures financières sont meilleures dans :,Les marchés développés,Les BRICS,L’Afrique,L’Amérique du Sud,A
🌍 Marchés & géopolitique,Marchés émergents vs développés,Les marchés émergents présentent un risque :,De change,Fiscal,D’innovation,De croissance,A
🌍 Marchés & géopolitique,Marchés émergents vs développés,Les dividendes y sont généralement :,Plus élevés,Moins prévisibles,Garantis,Plus fréquents,B
🌍 Marchés & géopolitique,Marchés émergents vs développés,La régulation est souvent :,Plus faible dans les émergents,Identique partout,Plus stricte dans les BRICS,Exagérée dans les USA,A
🌍 Marchés & géopolitique,Marchés émergents vs développés,L’Asie est :,Majoritairement développée,En grande partie émergente,Sans croissance,Sous régulation OCDE,B
🌍 Marchés & géopolitique,Marchés émergents vs développés,Les marchés développés comprennent :,"BRVM, NSE","NYSE, Euronext","JSE, Casablanca","BVMAC, Bourse de Tunis",B
🌍 Marchés & géopolitique,Investir en Afrique,La BRVM est une bourse régionale commune à :,L’Afrique centrale,L’Afrique de l’Est,L’UEMOA,La SADC,C
🌍 Marchés & géopolitique,Investir en Afrique,Où est située la BRVM physiquement ?,Dakar,Abidjan,Lagos,Bamako,B
🌍 Marchés & géopolitique,Investir en Afrique,La BRVM fonctionne selon :,Une cotation continue,Des enchères à heure fixe,La blockchain,Un système privé,B
🌍 Marchés & géopolitique,Investir en Afrique,Le principal indice de la BRVM est :,BRVM 30,BRVM Regional,BRVM Composite,UEMOA Index,C
🌍 Marchés & géopolitique,Investir en Afrique,La Bourse de Johannesburg (JSE) est la plus grande :,Du continent africain,Du monde arabe,De l’Océanie,De l’Ouest africain,A
🌍 Marchés & géopolitique,Investir en Afrique,Le Nairobi Securities Exchange est situé au :,Nigéria,Kenya,Ghana,Zambie,B
🌍 Marchés & géopolitique,Investir en Afrique,Quel secteur domine à la BRVM ?,Énergie,Agroalimentaire,Banque,Technologie,B
🌍 Marchés & géopolitique,Investir en Afrique,Une action cotée à la BRVM :,Peut être achetée via Euronext,Est en franc CFA,Est libellée en dollar,Ne verse pas de dividende,B
🌍 Marchés & géopolitique,Investir en Afrique,La JSE est connue pour son secteur :,Agricole,Minier,Textile,Technologique,B
🌍 Marchés & géopolitique,Investir en Afrique,Safaricom est une entreprise cotée à :,BRVM,JSE,Nairobi SE,Casablanca,C
🌍 Marchés & géopolitique,Investir en Afrique,Investir en Afrique peut permettre de :,Réduire ses impôts,Diversifier son portefeuille,Éviter l’euro,Éviter la régulation,B
🌍 Marchés & géopolitique,Investir en Afrique,Les marchés africains sont généralement :,Très liquides,Moins liquides,Très chers,Centrés sur les GAFAM,B
🌍 Marchés & géopolitique,Investir en Afrique,Le franc CFA est utilisé dans :,Toute l’Afrique,Afrique de l’Est,Afrique de l’Ouest et centrale,Aucune région,C
🌍 Marchés & géopolitique,Investir en Afrique,Quel pays abrite la Bourse de Casablanca ?,Maroc,Algérie,Tunisie,Égypte,A
🌍 Marchés & géopolitique,Investir en Afrique,La Bourse égyptienne est libellée en :,Dollar,Livre égyptienne,Euro,Dirham,B
🌍 Marchés & géopolitique,Investir en Afrique,L’élément clé à surveiller en Afrique est souvent :,Le Nasdaq,La stabilité politique,Le chômage,Le taux de natalité,B
